,LONELY2,SATJOB,MOREDAYS,WRKHOME,HLTHPHYS,HLTHMNTL,CONWKDAY,PARTLSC,AGE,MARITAL,EDUC,is_si,marital_cat,MOREWEEKS,Age Group
1304,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,55.0,3.0,2,0,0,1,3
1308,1.0,2.0,5.0,1.0,3.0,3.0,4.0,4.0,30.0,5.0,4,0,0,1,2
1317,2.0,2.0,1.0,5.0,1.0,1.0,4.0,3.0,23.0,5.0,4,0,0,1,1
1321,1.0,2.0,20.0,1.0,3.0,3.0,2.0,5.0,24.0,1.0,2,0,1,3,1
1327,1.0,1.0,5.0,1.0,3.0,3.0,6.0,5.0,36.0,1.0,2,0,1,1,2
1331,1.0,2.0,0.0,1.0,3.0,3.0,3.0,4.0,39.0,1.0,4,0,1,0,2
1333,3.0,1.0,15.0,1.0,3.0,2.0,6.0,1.0,31.0,3.0,3,1,0,3,2
1335,1.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,35.0,1.0,1,0,1,1,2
1338,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,42.0,1.0,2,0,1,1,2
1345,1.0,1.0,3.0,1.0,2.0,1.0,5.0,2.0,23.0,5.0,3,0,0,1,1
1347,5.0,1.0,30.0,1.0,1.0,1.0,3.0,5.0,57.0,3.0,1,1,0,4,3
1348,1.0,2.0,20.0,5.0,3.0,1.0,6.0,5.0,50.0,1.0,4,0,1,3,3
1354,3.0,1.0,4.0,1.0,2.0,2.0,6.0,3.0,61.0,3.0,2,1,0,1,4
1369,2.0,1.0,6.0,6.0,2.0,3.0,4.0,3.0,54.0,1.0,3,0,1,1,3
1370,1.0,3.0,23.0,1.0,3.0,3.0,6.0,3.0,60.0,1.0,2,0,1,4,4
1372,1.0,2.0,8.0,1.0,4.0,3.0,6.0,5.0,36.0,1.0,4,0,1,2,2
1374,1.0,1.0,4.0,1.0,2.0,2.0,4.0,5.0,41.0,1.0,4,0,1,1,2
1376,1.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,38.0,1.0,4,0,1,1,2
1382,3.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,42.0,1.0,3,1,1,1,2
1383,1.0,1.0,12.0,3.0,1.0,1.0,4.0,1.0,57.0,1.0,4,0,1,2,3
1384,3.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,41.0,3.0,4,1,0,1,2
1390,1.0,1.0,5.0,2.0,2.0,1.0,5.0,1.0,38.0,1.0,3,0,1,1,2
1392,2.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,68.0,1.0,1,0,1,0,4
1396,1.0,1.0,30.0,1.0,3.0,2.0,5.0,5.0,44.0,1.0,1,0,1,4,2
1399,2.0,2.0,9.0,1.0,2.0,1.0,4.0,4.0,40.0,5.0,4,0,0,2,2
1403,5.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,37.0,5.0,4,1,0,1,2
1412,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,28.0,5.0,3,0,0,1,1
1416,1.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,49.0,1.0,3,0,1,1,3
1418,4.0,2.0,0.0,1.0,3.0,5.0,3.0,5.0,43.0,3.0,1,1,0,0,2
1421,2.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,32.0,5.0,3,0,0,1,2
1424,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,58.0,1.0,4,0,1,1,3
1425,1.0,2.0,7.0,1.0,2.0,3.0,4.0,4.0,21.0,5.0,3,0,0,1,1
1428,1.0,1.0,0.0,1.0,2.0,2.0,3.0,5.0,52.0,3.0,3,0,0,0,3
1434,2.0,1.0,20.0,3.0,4.0,2.0,6.0,4.0,50.0,4.0,3,0,0,3,3
1439,1.0,1.0,20.0,4.0,3.0,2.0,5.0,5.0,24.0,1.0,4,0,1,3,1
1442,4.0,2.0,4.0,6.0,2.0,3.0,4.0,3.0,31.0,5.0,4,1,0,1,2
1445,1.0,1.0,6.0,5.0,2.0,2.0,6.0,3.0,46.0,1.0,4,0,1,1,3
1446,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,49.0,5.0,4,0,0,1,3
1450,1.0,2.0,0.0,1.0,2.0,2.0,5.0,5.0,34.0,1.0,2,0,1,0,2
1452,1.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,44.0,1.0,3,0,1,0,2
1453,2.0,1.0,30.0,5.0,3.0,3.0,3.0,2.0,48.0,1.0,4,0,1,4,3
1457,1.0,2.0,26.0,1.0,2.0,2.0,4.0,3.0,48.0,5.0,3,0,0,4,3
1461,3.0,2.0,6.0,1.0,4.0,1.0,1.0,5.0,55.0,3.0,2,1,0,1,3
1464,1.0,1.0,0.0,1.0,3.0,2.0,4.0,2.0,59.0,1.0,2,0,1,0,3
1465,1.0,1.0,4.0,5.0,2.0,2.0,4.0,3.0,56.0,3.0,4,0,0,1,3
1468,1.0,1.0,24.0,1.0,1.0,1.0,4.0,3.0,69.0,1.0,3,0,1,4,4
1470,1.0,1.0,6.0,5.0,1.0,1.0,4.0,3.0,71.0,2.0,4,0,0,1,4
1474,3.0,3.0,3.0,1.0,3.0,4.0,3.0,4.0,37.0,3.0,1,1,0,1,2
1475,2.0,2.0,5.0,1.0,5.0,3.0,1.0,5.0,29.0,1.0,3,0,1,1,1
1477,1.0,2.0,0.0,1.0,4.0,3.0,5.0,5.0,32.0,5.0,4,0,0,0,2
1478,3.0,2.0,8.0,3.0,1.0,2.0,4.0,3.0,33.0,5.0,4,1,0,2,2
1480,2.0,2.0,5.0,1.0,3.0,1.0,2.0,5.0,22.0,5.0,2,0,0,1,1
1484,1.0,2.0,1.0,4.0,1.0,1.0,4.0,3.0,56.0,3.0,4,0,0,1,3
1489,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,34.0,1.0,4,0,1,1,2
1498,3.0,2.0,20.0,1.0,3.0,2.0,6.0,4.0,57.0,1.0,4,1,1,3,3
1499,1.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,63.0,1.0,3,0,1,1,4
1505,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,34.0,1.0,3,0,1,0,2
1510,3.0,2.0,0.0,1.0,3.0,3.0,4.0,5.0,25.0,5.0,4,1,0,0,1
1514,4.0,4.0,6.0,1.0,4.0,4.0,3.0,5.0,50.0,3.0,1,1,0,1,3
1523,1.0,1.0,2.0,4.0,4.0,2.0,5.0,5.0,58.0,1.0,1,0,1,1,3
1540,2.0,1.0,5.0,3.0,2.0,2.0,1.0,3.0,43.0,1.0,4,0,1,1,2
1543,4.0,2.0,1.0,1.0,4.0,3.0,2.0,5.0,62.0,3.0,1,1,0,1,4
1546,1.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,22.0,1.0,2,0,1,1,1
1547,3.0,3.0,0.0,6.0,4.0,3.0,1.0,2.0,60.0,1.0,1,1,1,0,4
1554,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,32.0,1.0,4,0,1,1,2
1555,1.0,1.0,0.0,6.0,2.0,2.0,2.0,4.0,85.0,1.0,4,0,1,0,4
1559,3.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,32.0,5.0,3,1,0,1,2
1563,3.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,61.0,2.0,4,1,0,1,4
1566,1.0,1.0,10.0,1.0,4.0,2.0,4.0,2.0,51.0,4.0,4,0,0,2,3
1567,1.0,1.0,4.0,3.0,3.0,2.0,4.0,5.0,38.0,1.0,2,0,1,1,2
1569,1.0,1.0,20.0,5.0,1.0,1.0,6.0,1.0,37.0,5.0,4,0,0,3,2
1577,3.0,2.0,0.0,1.0,3.0,2.0,4.0,3.0,51.0,1.0,3,1,1,0,3
1580,1.0,1.0,4.0,1.0,5.0,2.0,5.0,2.0,35.0,1.0,2,0,1,1,2
1582,1.0,3.0,25.0,1.0,2.0,2.0,3.0,3.0,32.0,5.0,2,0,0,4,2
1584,1.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,41.0,1.0,3,0,1,1,2
1590,2.0,1.0,3.0,6.0,2.0,2.0,3.0,1.0,30.0,5.0,4,0,0,1,2
1598,5.0,4.0,3.0,1.0,5.0,4.0,6.0,5.0,55.0,3.0,1,1,0,1,3
1599,2.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,55.0,5.0,2,0,0,1,3
1601,3.0,1.0,0.0,4.0,4.0,2.0,5.0,5.0,38.0,1.0,3,1,1,0,2
1606,3.0,3.0,0.0,1.0,1.0,2.0,2.0,5.0,25.0,5.0,3,1,0,0,1
1609,1.0,2.0,0.0,1.0,2.0,1.0,3.0,5.0,25.0,5.0,2,0,0,0,1
1611,3.0,1.0,0.0,1.0,2.0,1.0,4.0,2.0,22.0,5.0,3,1,0,0,1
1614,1.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,20.0,5.0,3,0,0,1,1
1615,1.0,1.0,0.0,1.0,2.0,2.0,4.0,4.0,54.0,1.0,2,0,1,0,3
1619,1.0,1.0,5.0,5.0,2.0,1.0,5.0,1.0,59.0,1.0,4,0,1,1,3
1621,2.0,2.0,5.0,5.0,2.0,3.0,4.0,2.0,34.0,1.0,4,0,1,1,2
1631,1.0,2.0,20.0,1.0,2.0,1.0,3.0,1.0,23.0,5.0,2,0,0,3,1
1632,1.0,1.0,15.0,1.0,3.0,3.0,3.0,1.0,56.0,1.0,2,0,1,3,3
1633,1.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,47.0,3.0,2,0,0,0,3
1637,1.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,33.0,1.0,4,0,1,1,2
1641,1.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,61.0,1.0,4,0,1,1,4
1643,2.0,1.0,3.0,1.0,3.0,3.0,2.0,5.0,42.0,1.0,3,0,1,1,2
1648,2.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,30.0,5.0,2,0,0,1,2
1651,1.0,1.0,5.0,1.0,1.0,1.0,6.0,5.0,26.0,5.0,3,0,0,1,1
1657,1.0,2.0,12.0,1.0,3.0,2.0,5.0,4.0,65.0,3.0,4,0,0,2,4
1660,1.0,3.0,10.0,1.0,3.0,2.0,3.0,3.0,44.0,3.0,2,0,0,2,2
1662,3.0,2.0,4.0,1.0,3.0,2.0,3.0,4.0,23.0,5.0,3,1,0,1,1
1664,1.0,2.0,0.0,1.0,3.0,3.0,5.0,2.0,37.0,3.0,4,0,0,0,2
1669,1.0,2.0,4.0,1.0,1.0,2.0,2.0,5.0,43.0,1.0,4,0,1,1,2
1671,2.0,1.0,2.0,6.0,2.0,2.0,3.0,1.0,51.0,3.0,3,0,0,1,3
1674,1.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,74.0,1.0,4,0,1,0,4
1676,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,34.0,1.0,2,0,1,1,2
1679,1.0,1.0,16.0,1.0,3.0,3.0,5.0,1.0,34.0,1.0,3,0,1,3,2
1680,1.0,1.0,20.0,2.0,2.0,1.0,3.0,2.0,34.0,1.0,4,0,1,3,2
1684,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,46.0,3.0,2,0,0,1,3
1686,2.0,3.0,1.0,1.0,4.0,3.0,2.0,5.0,22.0,5.0,2,0,0,1,1
1687,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,55.0,3.0,2,0,0,0,3
1688,4.0,1.0,0.0,1.0,5.0,4.0,2.0,3.0,59.0,5.0,2,1,0,0,3
1698,1.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,25.0,1.0,3,0,1,1,1
1702,4.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,57.0,3.0,2,1,0,1,3
1707,2.0,1.0,6.0,6.0,2.0,2.0,3.0,3.0,43.0,5.0,3,0,0,1,2
1719,1.0,1.0,1.0,6.0,2.0,3.0,3.0,5.0,40.0,1.0,3,0,1,1,2
1721,1.0,1.0,3.0,5.0,3.0,3.0,4.0,3.0,62.0,3.0,2,0,0,1,4
1722,1.0,4.0,1.0,1.0,2.0,4.0,4.0,1.0,55.0,1.0,3,0,1,1,3
1728,2.0,1.0,4.0,1.0,4.0,2.0,3.0,5.0,52.0,5.0,3,0,0,1,3
1729,2.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,41.0,5.0,4,0,0,1,2
1730,1.0,1.0,4.0,1.0,1.0,2.0,4.0,2.0,50.0,5.0,4,0,0,1,3
1732,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,69.0,1.0,2,0,1,0,4
1738,3.0,1.0,15.0,3.0,1.0,3.0,4.0,1.0,24.0,5.0,4,1,0,3,1
1741,1.0,2.0,5.0,1.0,3.0,2.0,2.0,1.0,39.0,3.0,4,0,0,1,2
1743,1.0,2.0,4.0,3.0,3.0,3.0,6.0,3.0,38.0,1.0,4,0,1,1,2
1746,4.0,4.0,10.0,5.0,4.0,3.0,2.0,5.0,63.0,5.0,1,1,0,2,4
1748,2.0,4.0,4.0,1.0,4.0,3.0,2.0,5.0,25.0,5.0,1,0,0,1,1
1749,1.0,1.0,2.0,4.0,1.0,1.0,3.0,5.0,51.0,1.0,2,0,1,1,3
1751,1.0,1.0,4.0,5.0,1.0,1.0,4.0,2.0,45.0,1.0,4,0,1,1,3
1757,1.0,1.0,10.0,3.0,3.0,3.0,4.0,2.0,61.0,5.0,4,0,0,2,4
1759,1.0,2.0,20.0,1.0,3.0,2.0,4.0,1.0,54.0,1.0,2,0,1,3,3
1762,1.0,1.0,25.0,4.0,3.0,2.0,3.0,5.0,63.0,1.0,4,0,1,4,4
1764,1.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,64.0,1.0,3,0,1,1,4
1766,2.0,2.0,0.0,1.0,2.0,2.0,5.0,5.0,27.0,1.0,2,0,1,0,1
1768,1.0,1.0,3.0,1.0,3.0,2.0,3.0,5.0,41.0,1.0,2,0,1,1,2
1770,1.0,2.0,0.0,1.0,4.0,3.0,4.0,1.0,54.0,3.0,2,0,0,0,3
1774,1.0,1.0,24.0,1.0,2.0,2.0,1.0,5.0,51.0,1.0,1,0,1,4,3
1777,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,54.0,1.0,2,0,1,1,3
1780,1.0,1.0,10.0,4.0,2.0,1.0,5.0,2.0,59.0,1.0,4,0,1,2,3
1781,1.0,3.0,0.0,1.0,3.0,5.0,5.0,5.0,31.0,5.0,2,0,0,0,2
1782,1.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,23.0,5.0,2,0,0,1,1
1785,1.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,37.0,1.0,3,0,1,1,2
1790,2.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,47.0,1.0,4,0,1,1,3
1791,1.0,4.0,0.0,1.0,1.0,1.0,4.0,5.0,52.0,3.0,2,0,0,0,3
1795,2.0,2.0,1.0,5.0,2.0,2.0,4.0,3.0,36.0,1.0,4,0,1,1,2
1796,1.0,2.0,3.0,1.0,3.0,2.0,4.0,5.0,64.0,5.0,4,0,0,1,4
1798,2.0,1.0,2.0,1.0,3.0,3.0,6.0,4.0,63.0,1.0,4,0,1,1,4
1800,2.0,2.0,12.0,6.0,3.0,2.0,2.0,4.0,35.0,3.0,3,0,0,2,2
1804,1.0,1.0,25.0,4.0,1.0,2.0,4.0,1.0,53.0,1.0,4,0,1,4,3
1805,1.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,70.0,1.0,4,0,1,1,4
1806,2.0,1.0,20.0,1.0,2.0,2.0,4.0,5.0,32.0,1.0,4,0,1,3,2
1808,1.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,35.0,1.0,4,0,1,1,2
1816,2.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,49.0,3.0,2,0,0,1,3
1819,3.0,1.0,14.0,1.0,3.0,2.0,1.0,5.0,56.0,5.0,3,1,0,2,3
1820,1.0,1.0,30.0,4.0,3.0,3.0,2.0,5.0,55.0,1.0,3,0,1,4,3
1826,1.0,1.0,4.0,3.0,1.0,2.0,3.0,4.0,45.0,1.0,4,0,1,1,3
1828,2.0,4.0,10.0,5.0,2.0,2.0,5.0,3.0,56.0,3.0,4,0,0,2,3
1832,2.0,1.0,12.0,1.0,1.0,2.0,3.0,5.0,25.0,5.0,2,0,0,2,1
1835,3.0,4.0,4.0,1.0,2.0,1.0,1.0,5.0,23.0,5.0,2,1,0,1,1
