,TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
289,20180101181655,2,59,20,2,0,0,0
290,20180101181655,3,18,22,2,0,0,0
291,20180101181678,1,66,18,1,0,0,0
292,20180101181678,2,85,24,2,60,0,0
293,20180101181683,1,63,19,1,0,0,0
294,20180101181687,1,36,18,2,0,0,0
295,20180101181687,2,37,20,1,0,0,0
296,20180101181687,3,8,22,1,0,0,0
297,20180101181687,4,6,22,1,0,0,0
298,20180101181691,1,58,18,2,0,0,0
299,20180101181691,2,17,22,2,0,0,0
300,20180101181691,3,16,22,2,0,0,0
301,20180101181703,1,37,18,2,0,0,0
302,20180101181703,2,38,20,1,0,0,0
303,20180101181710,1,51,18,2,0,0,0
304,20180101181710,2,85,24,2,60,0,0
305,20180101181732,1,61,18,1,0,0,0
306,20180101181732,2,58,20,2,0,0,0
307,20180101181732,3,27,22,1,0,0,0
308,20180101181735,1,66,19,2,0,0,0
309,20180101181738,1,63,18,1,0,0,0
310,20180101181738,2,58,20,2,0,0,0
311,20180101181768,1,45,18,2,0,0,0
312,20180101181768,2,43,20,1,0,0,0
313,20180101181768,3,10,22,1,0,0,0
314,20180101181768,4,8,22,2,0,0,0
315,20180101181771,1,63,19,1,0,0,0
316,20180101181771,2,51,28,1,0,0,0
317,20180101181771,3,67,28,1,0,0,0
318,20180101181790,1,76,18,2,0,0,0
319,20180101181790,2,62,20,1,0,0,0
320,20180101181792,1,62,18,1,0,0,0
321,20180101181792,2,63,30,2,0,0,0
322,20180101181809,1,38,19,1,0,0,0
323,20180101181816,1,36,18,2,0,0,0
324,20180101181816,2,5,22,2,0,0,0
325,20180101181816,3,3,22,2,0,0,0
326,20180101181835,1,26,18,2,0,0,0
327,20180101181835,2,30,20,1,0,0,0
328,20180101181835,3,4,22,1,0,0,0
329,20180101181835,4,1,22,2,0,0,0
330,20180101181844,1,66,18,2,0,0,0
331,20180101181844,2,34,22,1,0,0,0
332,20180101181859,1,60,18,2,0,0,0
333,20180101181859,2,21,22,2,0,0,0
334,20180101181866,1,53,19,1,0,0,0
335,20180101181870,1,42,18,2,0,0,0
336,20180101181870,2,24,22,2,0,0,0
337,20180101181870,3,20,22,1,0,0,0
338,20180101181870,4,1,23,1,0,0,0
339,20180101181872,1,41,18,1,0,0,0
340,20180101181872,2,40,20,2,0,0,0
341,20180101181872,3,20,22,1,0,0,0
342,20180101181872,4,17,22,2,0,0,0
343,20180101181888,1,65,19,2,0,0,0
344,20180101181899,1,30,18,2,0,0,0
345,20180101181899,2,33,21,1,0,0,0
346,20180101181899,3,5,22,2,0,0,0
347,20180101181929,1,80,19,2,0,0,0
348,20180101181930,1,58,18,1,0,0,0
349,20180101181930,2,57,20,2,0,0,0
350,20180101181930,3,21,22,1,0,0,0
351,20180101181930,4,19,22,1,0,0,0
352,20180101181930,5,14,22,2,0,0,0
353,20180101181935,1,17,18,1,0,0,0
354,20180101181935,2,52,24,2,0,0,0
355,20180101181937,1,45,18,1,0,0,0
356,20180101181937,2,42,20,2,0,0,0
357,20180101181937,3,13,22,1,0,0,0
