,TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
2013,20181110181210,73,4,34,3,0,6,-1,0,0,0,0
2014,20181110181316,74,4,33,2,0,2,-1,0,0,0,0
2015,20181110181333,85,4,47,12,0,4,-1,0,0,0,0
2016,20181110181360,85,4,39,2,0,3,-1,60,0,0,0
2017,20181110181381,85,4,47,5,0,5,-1,60,0,0,0
2018,20181110181418,85,4,43,7,0,3,-1,60,0,0,0
2019,20181110181418,80,3,43,-1,0,4,-1,60,0,0,-1
2020,20181110181451,85,4,39,4,0,3,-1,60,0,0,0
2021,20181110181479,85,2,43,-1,0,5,-1,60,0,0,-1
2022,20181110181481,72,1,43,-1,0,2,-1,0,0,0,-1
2023,20181110181491,85,4,47,2,0,7,-1,60,0,0,0
2024,20181110181513,80,4,33,20,0,3,-1,60,0,0,0
2025,20181110181519,85,3,34,-1,0,2,-1,60,0,0,-1
2026,20181110181521,65,1,43,-1,0,2,-1,0,0,0,-1
2027,20181110181553,85,2,39,-1,0,3,-1,60,0,0,-1
2028,20181110181588,74,4,33,2,0,2,-1,0,0,0,0
2029,20181110181588,80,3,34,-1,0,3,-1,60,0,0,-1
2030,20181110181591,85,4,47,10,0,3,-1,60,0,0,0
2031,20181110181606,67,4,35,5,0,3,-1,0,0,0,0
2032,20181110181623,85,4,39,10,0,4,-1,60,0,0,0
2033,20181110181672,85,3,47,-1,0,4,-1,0,0,0,-1
2034,20181110181682,55,1,20,-1,1,2,2,0,0,0,-1
2035,20181110181695,80,4,48,6,0,6,-1,60,0,0,0
2036,20181110181788,85,3,44,-1,0,5,-1,60,0,0,-1
2037,20181110181819,85,2,47,-1,0,8,-1,60,0,0,-1
2038,20181110181869,67,4,39,4,0,5,-1,0,0,0,0
2039,20181110181886,80,1,34,-1,0,3,-1,0,0,0,-1
2040,20181110181907,85,4,33,3,0,3,-1,60,0,0,0
2041,20181110181917,70,4,34,10,0,6,-1,0,0,0,0
2042,20181110181917,85,4,44,2,0,7,-1,60,0,0,0
2043,20181110181935,80,4,39,3,0,3,-1,60,0,0,0
2044,20181110181935,80,4,40,3,0,4,-1,60,0,0,0
2045,20181110181949,69,1,33,-1,0,5,-1,0,0,0,-1
2046,20181110181949,72,1,34,-1,0,6,-1,0,0,0,-1
2047,20181110181950,80,3,20,-1,1,2,2,0,0,0,-1
2048,20181110182058,85,4,39,2,0,3,-1,60,0,0,0
2049,20181110182103,79,4,24,10,1,5,5,0,0,0,0
2050,20181110182106,75,3,24,-1,1,2,2,0,0,0,-1
2051,20181110182141,85,4,26,4,1,3,3,0,0,0,0
2052,20181110182142,79,3,48,-1,0,3,-1,0,0,0,-1
2053,20181110182142,79,3,47,-1,0,4,-1,0,0,0,-1
2054,20181110182151,85,4,33,10,0,7,-1,60,0,0,0
2055,20181110182170,85,4,39,10,0,3,-1,60,0,0,0
2056,20181110182170,85,4,34,5,0,4,-1,0,0,0,0
2057,20181110182246,85,3,43,-1,0,2,-1,60,0,0,-1
2058,20181110182246,80,4,43,2,0,3,-1,0,0,0,0
2059,20181110182246,76,2,43,-1,0,4,-1,0,0,0,-1
2060,20181110182247,85,4,34,3,0,3,-1,0,0,0,0
2061,20181110182258,85,1,33,-1,0,3,-1,60,0,0,-1
